LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
57m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-1 in StatefulSet webnote successful
57m         Normal    Created                 pod/webnote-1                             Container created
57m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
57m         Normal    Started                 pod/webnote-1                             Container started
57m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
56m         Normal    Pulling                 pod/webnote-1                             Pulling image "nginx:1.31-alpine"
56m         Normal    Pulled                  pod/webnote-1                             Successfully pulled image "nginx:1.31-alpine" in 58.068s (58.068s including waiting). Image size: 26279045 bytes.
56m         Normal    Started                 pod/webnote-1                             Container started
56m         Normal    Created                 pod/webnote-1                             Container created
55m         Normal    SuccessfulDelete        statefulset/webnote                       Delete Pod webnote-0 in StatefulSet webnote successful
55m         Normal    Killing                 pod/webnote-0                             Stopping container nginx
55m         Normal    Scheduled               pod/webnote-0                             Successfully assigned dso202-practical-02/webnote-0 to worker-node-2
55m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-0 in StatefulSet webnote successful
55m         Normal    Pulled                  pod/webnote-0                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
55m         Normal    Pulled                  pod/webnote-0                             Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
55m         Normal    Created                 pod/webnote-0                             Container created
55m         Normal    Started                 pod/webnote-0                             Container started
55m         Normal    Created                 pod/webnote-0                             Container created
55m         Normal    Started                 pod/webnote-0                             Container started
53m         Normal    Killing                 pod/webnote-0                             Stopping container nginx
53m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
53m         Normal    Killing                 pod/webnote-1                             Stopping container nginx
53m         Normal    Scheduled               pod/webnote-0                             Successfully assigned dso202-practical-02/webnote-0 to worker-node-2
53m         Normal    Created                 pod/webnote-0                             Container created
53m         Normal    Pulled                  pod/webnote-0                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
53m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-0 in StatefulSet webnote successful
53m         Normal    Started                 pod/webnote-0                             Container started
53m         Normal    Started                 pod/webnote-0                             Container started
53m         Normal    Created                 pod/webnote-0                             Container created
53m         Normal    Pulled                  pod/webnote-0                             Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
52m         Normal    Started                 pod/webnote-1                             Container started
52m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
52m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-1 in StatefulSet webnote successful
52m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
52m         Normal    Created                 pod/webnote-1                             Container created
52m         Normal    Started                 pod/webnote-1                             Container started
52m         Normal    Pulled                  pod/webnote-1                             Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
52m         Normal    Created                 pod/webnote-1                             Container created
52m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
52m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
52m         Normal    Created                 pod/webnote-2                             Container created
52m         Normal    Started                 pod/webnote-2                             Container started
52m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-2 in StatefulSet webnote successful
52m         Normal    Started                 pod/webnote-2                             Container started
52m         Normal    Created                 pod/webnote-2                             Container created
52m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
51m         Normal    ExternalProvisioning    persistentvolumeclaim/data-postgres-0     Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
51m         Normal    Provisioning            persistentvolumeclaim/data-postgres-0     External provisioner is provisioning volume for claim "dso202-practical-02/data-postgres-0"
51m         Normal    WaitForFirstConsumer    persistentvolumeclaim/data-postgres-0     waiting for first consumer to be created before binding
51m         Normal    SuccessfulCreate        statefulset/postgres                      Create Claim data-postgres-0 Pod postgres-0 in StatefulSet postgres success
51m         Normal    ProvisioningSucceeded   persistentvolumeclaim/data-postgres-0     Successfully provisioned volume pvc-3da5b67a-1831-4feb-b574-358a9a29a486
51m         Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
51m         Normal    Pulling                 pod/postgres-0                            Pulling image "postgres:18-alpine"
44m         Normal    Pulled                  pod/postgres-0                            Successfully pulled image "postgres:18-alpine" in 6m26.219s (6m26.219s including waiting). Image size: 120060019 bytes.
44m         Normal    Created                 pod/postgres-0                            Container created
44m         Normal    Started                 pod/postgres-0                            Container started
43m         Normal    Killing                 pod/postgres-0                            Stopping container postgres
43m         Normal    SuccessfulDelete        statefulset/postgres                      Delete Pod postgres-0 in StatefulSet postgres successful
43m         Normal    SuccessfulCreate        statefulset/postgres                      Create Pod postgres-0 in StatefulSet postgres successful
43m         Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
43m         Normal    Pulling                 pod/postgres-0                            Pulling image "postgres:16-alpine"
38m         Normal    Pulled                  pod/postgres-0                            Successfully pulled image "postgres:16-alpine" in 5m24.898s (5m24.898s including waiting). Image size: 116075089 bytes.
38m         Normal    Created                 pod/postgres-0                            Container created
38m         Normal    Started                 pod/postgres-0                            Container started
17m         Normal    SandboxChanged          pod/static-writer                         Pod sandbox changed, it will be killed and re-created.
17m         Normal    SandboxChanged          pod/webnote-1                             Pod sandbox changed, it will be killed and re-created.
17m         Normal    SandboxChanged          pod/postgres-0                            Pod sandbox changed, it will be killed and re-created.
17m         Normal    SandboxChanged          pod/webnote-2                             Pod sandbox changed, it will be killed and re-created.
17m         Normal    SandboxChanged          pod/webnote-0                             Pod sandbox changed, it will be killed and re-created.
17m         Normal    SandboxChanged          pod/client                                Pod sandbox changed, it will be killed and re-created.
17m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
17m         Normal    Created                 pod/postgres-0                            Container created
17m         Normal    Created                 pod/webnote-2                             Container created
17m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
17m         Normal    Pulled                  pod/postgres-0                            Container image "postgres:16-alpine" already present on machine and can be accessed by the pod
17m         Normal    Created                 pod/webnote-1                             Container created
17m         Normal    Started                 pod/client                                Container started
17m         Normal    Created                 pod/client                                Container created
17m         Normal    Pulled                  pod/client                                Container image "busybox:1.37" already present on machine and can be accessed by the pod
17m         Normal    Pulled                  pod/static-writer                         Container image "busybox:1.37" already present on machine and can be accessed by the pod
